reviewId,userName,score,at,content,thumbsUpCount,appVersion,replyContent,repliedAt
ea8e5327-b378-480a-82e8-bfb30b7418a5,Raju Kanujiya,5,2026-01-05 23:59:44,good,0,4.98.0,"Hi there, thank you for your patronage and the perfect rating. We will strive to provide consistent seamless ordering experiences. Keep Swiggying!",2026-01-06 00:02:56
69af9e58-b15a-4edd-a613-10fbb1b31bd1,thellanikhil nikhil,1,2026-01-05 23:58:41,late delivery,0,4.99.0,"Hey there, sorry for the delay in delivering the food. Please share the order details to swiggysocial@swiggy.in and we will check this and address it.",2026-01-06 00:02:55
5b6658aa-d6c0-4dd2-bad3-d9097026e252,Pushkar Goel,5,2026-01-05 23:56:52,5 star,0,4.99.1,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",2026-01-06 00:02:56
8384a055-c10c-4068-bf17-fe5238d115ce,Mansuri Moin,5,2026-01-05 23:56:24,good,0,4.99.0,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",2026-01-06 00:02:55
de35e9b3-62eb-47c3-a068-16ffbf80ca30,Anshul Sood,5,2026-01-05 23:53:28,good swiggy,0,4.99.1,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",2026-01-06 00:02:54
f8d3e886-8770-4c1d-8f04-2aab52c7b68e,Pratibha Kanwasi,1,2026-01-05 23:52:45,Extremely disappointing experience. Swiggy did not allow me to cancel my order even though I tried on time and forcefully delivered it. They also charged more money after the order was placed. This is unacceptable and feels like cheating customers. No proper support or resolution. I would advise everyone to avoid using this app.,0,4.99.0,"Hey there, we are sorry to have put you through such a situation. We would like to make amends and request you to kindly share the order ID along with the details of your concern at swiggysocial@swiggy.in and we will do what it takes to turn this around!",2026-01-06 00:02:54
c38b50f2-52f6-45fc-9089-1d6dc4fa81fc,Narayana Y,5,2026-01-05 23:46:18,super 👍😍,0,4.99.1,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,2026-01-05 23:52:41
a7fd6903-8fb7-4e4a-9cbe-45f3fdc7f6bc,BrijeshKumar R Yadav,5,2026-01-05 23:46:01,Great Job,0,4.99.1,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,2026-01-05 23:52:42
dc095445-628c-40d7-b741-07ad557da5a9,Jyoti Kumari,5,2026-01-05 23:44:38,good 👍😊,0,4.99.0,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",2026-01-05 23:52:43
aba8d54a-c9ec-45aa-b934-87c0c1d60f24,Hukum Jagat,5,2026-01-05 23:43:56,ok nice 👍,0,4.99.1,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",2026-01-05 23:52:42
fe58dc8e-4414-4e4b-8f0f-aa2c196ffa5b,Muzammil Shahid,1,2026-01-05 23:41:51,"After Cancelling order from your end, on which ground, policy you did not refund my money, this is simple plain fraud from Swiggy, firstly th^agent said I will get refund and kater email said I will not receive the refund. My emails were ignored, this is fraud. Kindly refund my money as soon as possible, otherwise be ready for fraud charges and for breaking customer's trust with these kind of cheap and low acts. I will Boycott Swiggy and will ask others to do the same, if did not get my refund.",0,,This shouldn't have happened. Kindly help us with the order ID along with the details of the issue by writing to us at swiggysocial@swiggy.in from your registered email ID & we will have this checked.,2026-01-05 23:42:33
b5918351-174c-470e-90c5-7291b3e72069,Khushi Sharma,5,2026-01-05 23:39:16,best offers,0,4.99.1,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2026-01-05 23:42:33
fc577173-4689-41ef-ba5b-4727b988356e,Ramesh lavanya . S,5,2026-01-05 23:37:52,good job,0,4.99.1,"Hi there, thank you for your patronage and the perfect rating. We will strive to provide consistent seamless ordering experiences. Keep Swiggying!",2026-01-05 23:42:34
975492be-ba2a-41a1-bb1a-d338c0cf486b,narayan malusare,1,2026-01-05 23:36:16,am writing this email to inform you that I have cancel my order I want my money back or give me my order otherwise I will post this around all social media platforms. I think you people will support me with this.,0,4.99.1,"Hello, we're sorry for the unpleasant experience. Please share your concern along with your order details via email at swiggysocial@swiggy.in so that we will look into this & assist you better.",2026-01-05 23:42:36
63937500-1890-4195-a24d-3008fa1d4cb9,Shivam Kumar,5,2026-01-05 23:34:43,awesome 👍😎,0,,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,2026-01-05 23:42:35
a9cf11a5-0db5-42ae-9b04-5436ba52f877,shrishail badiger,5,2026-01-05 23:31:31,good,0,4.99.1,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",2026-01-05 23:32:45
39b39d2d-a493-43f3-b5d7-8ece7e623870,PRKSH,5,2026-01-05 23:29:14,time on delivery,0,4.99.0,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2026-01-05 23:32:46
212dcbec-ed88-479e-a66b-308f7be6394a,Sahu Manoj,5,2026-01-05 23:28:21,good,0,4.99.1,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",2026-01-05 23:32:43
5902247b-cd72-4b43-81af-91967f24e961,Vishvanathan Singh,2,2026-01-05 23:24:22,nice,0,4.99.1,"Hi, please let us know how we can make our service better by writing to us at swiggysocial@swiggy.in from your registered email address.",2026-01-05 23:32:46
42d24be0-99f6-47fd-b1f9-ab98de29c12d,Ayush Gurjar,5,2026-01-05 23:23:07,"Hu roll no 2 n,",0,4.99.1,"Hi there, thank you for the ratings. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in, so we can make our services better.",2026-01-05 23:41:47
51363c78-c275-4633-a426-886b3f148f91,vishal gupta,5,2026-01-05 23:22:42,good,0,4.99.0,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",2026-01-05 23:32:44
